id;name;bic;iban
1;Familienwohnheim Rütscher Str.;PBNKDEFF;DE14500100600224788602
2;Bob Miller;MALADE51KOB;DE13570501204826655542
3;Alice Wonderland;WELADED1BUB;DE03460512408008771399
4;Chris Black;NOLADE21DAN;DE28258513358289433438
5;Michael R. King;ABNANL2A;NL02ABNA9338068110
6;Chen Li;INGDDEFFXXX;DE52500105179538656831
7;Lena Julia Elise Williams;UNCRITMMXXX;IT92S0300203280679335824372
8;Jet Li;INGDDEFFXXX;DE79500105175374975868
9;Keri Smith;INGDDEFFXXX;DE54500105173366689191
10;Benny Evan Duncan;MALADE51KUS;DE32540515505613176261
11;Gregory S Sharp;WELADED1PWF;DE30490519904494081955
12;Bob T. Miller;BEGODEHHXXX;DE73201200000571924687
