id;name;bic;iban
1;monitor;BWAAHKK1217;QA92ODAT30645O04P22362A327366
2;online payment;NYGEUYP1576;FO8500120440850056
3;Toys platforms pixel;HBFAMUP1;IL780700396706490014379
4;Niedersachsen yellow;TJMOHRP1600;PT43001720035070035008056
5;Aserbaidschan;KPPOPHG1;SM05A7227804025E1654L48V3P8
6;Sports;OQBEANU1;MT85UYFK5007223253KX9930I9F8A39
7;green infrastructures Flats;NEOEMZA1;RS10497800916804340843
8;solid Music multi-byte;CAJUIOP1;MT13GPTE002364642I495V30D383946
9;SQL incubate;DDZUVEC1;ME60211832004140470682
10;collaborative Chair;QIGIAIC1;GE52SC0440600300030074
