id;first_name;last_name;picture_id;picture_id_content_type;verified
1;Arthur;Wittich;../fake-data/blob/hipster.png;image/png;true
2;Alessia;Niedermeier;../fake-data/blob/hipster.png;image/png;true
3;Aaliyah;Clarius;../fake-data/blob/hipster.png;image/png;true
4;René;Hetzler;../fake-data/blob/hipster.png;image/png;false
5;Simon;Uibel;../fake-data/blob/hipster.png;image/png;true
6;Maxim;Faller;../fake-data/blob/hipster.png;image/png;false
7;Jack;Kron;../fake-data/blob/hipster.png;image/png;true
8;Karlotta;Ranz;../fake-data/blob/hipster.png;image/png;true
9;Edwin;Ihly;../fake-data/blob/hipster.png;image/png;true
10;Tessa;Büscher;../fake-data/blob/hipster.png;image/png;true
